<Header>
User name:  user_name
Location:  sample_location
Model: MINI-WRAS
Serial No.: 71-15-01
Software revision:  V8-1 Rev II (2017 Sept 26)
Unit: [1/cm3] 
Comment:  
online data
<Data>
[d&t31/12/2035 11:50:55]	PM10	PM2.5	PM1	Inhalable	Thoracic	Alveolic
19/07/2023 10:25:38	3660.9	629.0	77.5	8437.1	3729.7	1694.1
19/07/2023 10:26:38	3953.7	668.1	83.2	8483.8	4015.6	1823.9
19/07/2023 10:27:38	3620.6	623.0	77.2	7179.4	3696.9	1665.2
19/07/2023 10:28:38	2759.8	517.6	64.4	9608.4	2873.6	1341.4
19/07/2023 10:31:38	3355.3	597.7	73.7	6768.1	3428.1	1596.9
19/07/2023 10:32:38	3461.5	601.1	74.6	6988.2	3549.1	1601.3
19/07/2023 10:33:38	3096.6	575.9	71.2	6460.1	3133.4	1508.7
19/07/2023 10:34:38	3288.3	579.4	71.5	6448.4	3347.8	1534.0
19/07/2023 10:35:38	3273.7	577.4	71.2	7415.4	3364.8	1533.6
19/07/2023 10:36:38	2681.9	504.8	65.3	5744.7	2715.9	1318.9
19/07/2023 10:37:38	3302.2	580.8	71.4	7213.1	3371.1	1544.3
19/07/2023 10:38:38	3091.6	552.2	68.5	5764.1	3110.9	1475.4
19/07/2023 10:39:38	3326.3	562.2	68.3	7119.1	3400.5	1511.9
19/07/2023 10:40:38	3026.7	516.2	63.7	6905.0	3100.5	1380.1
19/07/2023 10:41:38	2840.1	511.7	63.0	6671.3	2879.5	1360.3
19/07/2023 10:42:38	2658.9	484.2	61.4	5223.3	2717.0	1280.1
19/07/2023 10:43:38	2548.3	456.3	58.5	4753.9	2572.0	1217.2
19/07/2023 10:44:38	2410.4	443.3	56.8	5126.6	2498.0	1158.9
19/07/2023 10:45:37	2338.1	444.6	56.0	5043.1	2394.1	1142.9
19/07/2023 10:46:37	2365.8	466.4	58.7	6485.1	2433.5	1190.4
19/07/2023 10:47:37	2360.4	451.2	56.8	5295.2	2414.9	1164.6
19/07/2023 10:48:37	2074.8	398.8	50.9	3916.0	2115.5	1034.2
19/07/2023 10:49:37	2181.9	404.1	52.7	4742.5	2217.5	1059.8
